Team,Pos.,FIFA Popular Name,Birth Date,Age,Shirt Name,Club,Height,Weight
Argentina,GK,GUZMAN Nahuel,10/02/1986,32,GUZMÁN,Tigres UANL (MEX),192,90
Argentina,DF,MERCADO Gabriel,18/03/1987,31,MERCADO,Sevilla FC (ESP),181,81
Argentina,DF,TAGLIAFICO Nicolas,31/08/1992,25,TAGLIAFICO,AFC Ajax (NED),169,65
Argentina,DF,ANSALDI Cristian,20/09/1986,31,ANSALDI,Torino FC (ITA),181,73
Argentina,MF,BIGLIA Lucas,30/01/1986,32,BIGLIA,AC Milan (ITA),175,73
Argentina,DF,FAZIO Federico,17/03/1987,31,FAZIO,AS Roma (ITA),199,85
Argentina,MF,BANEGA Ever,29/06/1988,29,BANEGA,Sevilla FC (ESP),175,73
Argentina,DF,ACUNA Marcos,28/10/1991,26,ACUÑA,Sporting CP (POR),172,77
Argentina,FW,HIGUAIN Gonzalo,10/12/1987,30,HIGUAÍN,Juventus FC (ITA),184,75
Argentina,FW,MESSI Lionel,24/06/1987,30,MESSI,FC Barcelona (ESP),170,72
Argentina,MF,DI MARIA Angel,14/02/1988,30,DI MARÍA,Paris Saint-Germain FC (FRA),178,75
Argentina,GK,ARMANI Franco,16/10/1986,31,ARMANI,CA River Plate (ARG),189,85
Argentina,MF,MEZA Maximiliano,15/12/1992,25,MEZA,CA Independiente (ARG),180,76
Argentina,DF,MASCHERANO Javier,08/06/1984,34,MASCHERANO,Hebei China Fortune FC (CHN),174,73
Argentina,MF,LANZINI Manuel,15/02/1993,25,LANZINI,West Ham United FC (ENG),167,66
Argentina,DF,ROJO Marcos,20/03/1990,28,ROJO,Manchester United FC (ENG),189,82
Argentina,DF,OTAMENDI Nicolas,12/02/1988,30,OTAMENDI,Manchester City FC (ENG),181,81
Argentina,DF,SALVIO Eduardo,13/07/1990,27,SALVIO,SL Benfica (POR),167,69
Argentina,FW,AGUERO Sergio,02/06/1988,30,AGÜERO,Manchester City FC (ENG),172,74
Argentina,MF,LO CELSO Giovani,09/04/1996,22,LO CELSO,Paris Saint-Germain FC (FRA),177,75
Argentina,FW,DYBALA Paulo,15/11/1993,24,DYBALA,Juventus FC (ITA),177,73
Argentina,MF,PAVON Cristian,21/01/1996,22,PAVÓN,CA Boca Juniors (ARG),169,65
Argentina,GK,CABALLERO Wilfredo,28/09/1981,36,CABALLERO,Chelsea FC (ENG),186,80
Australia,GK,RYAN Mathew,08/04/1992,26,RYAN,Brighton & Hove Albion FC (ENG),184,82
Australia,DF,DEGENEK Milos,28/04/1994,24,DEGENEK,Yokohama F-Marinos (JPN),187,85
Australia,DF,MEREDITH James,05/04/1988,30,MEREDITH,Millwall FC (ENG),179,71
Australia,FW,CAHILL Tim,06/12/1979,38,CAHILL,Millwall FC (ENG),180,76
Australia,DF,MILLIGAN Mark,04/08/1985,32,MILLIGAN,Al Ahli SC (KSA),178,78
Australia,DF,JURMAN Matthew,08/12/1989,28,JURMAN,Suwon Samsung Bluewings FC (KOR),190,83
Australia,FW,LECKIE Mathew,04/02/1991,27,LECKIE,Hertha BSC (GER),181,84
Australia,MF,LUONGO Massimo,25/09/1992,25,LUONGO,Queens Park Rangers FC (ENG),176,76
Australia,FW,JURIC Tomi,22/07/1991,26,JURIC,FC Luzern (SUI),190,80
Australia,FW,KRUSE Robbie,05/10/1988,29,KRUSE,VfL Bochum (GER),180,66
Australia,FW,NABBOUT Andrew,17/12/1992,25,NABBOUT,Urawa Reds (JPN),178,85
Australia,GK,JONES Brad,19/03/1982,36,JONES,Feyenoord Rotterdam (NED),193,87
Australia,MF,MOOY Aaron,15/09/1990,27,MOOY,Huddersfield Town FC (ENG),173,72
Australia,FW,MacLAREN Jamie,29/07/1993,24,MACLAREN,Hibernian FC (SCO),178,72
Australia,MF,JEDINAK Mile,03/08/1984,33,JEDINAK,Aston Villa FC (ENG),188,78
Australia,DF,BEHICH Aziz,16/12/1990,27,BEHICH,Bursaspor (TUR),170,63
Australia,FW,ARZANI Daniel,04/01/1999,19,ARZANI,Melbourne City FC (AUS),171,73
Australia,GK,VUKOVIC Danny,27/03/1985,33,VUKOVIC,KRC Genk (BEL),187,94
Australia,DF,RISDON Joshua,27/07/1992,25,RISDON,WS Wanderers FC (AUS),169,70
Australia,DF,SAINSBURY Trent,05/01/1992,26,SAINSBURY,Grasshopper Club (SUI),183,76
Australia,FW,PETRATOS Dimitrios,10/11/1992,25,PETRATOS,Newcastle United Jets FC (AUS),176,72
Australia,MF,IRVINE Jackson,07/03/1993,25,IRVINE,Hull City FC (ENG),180,77
Australia,MF,ROGIC Tom,16/12/1992,25,ROGIC,Celtic FC (SCO),189,88
Belgium,GK,COURTOIS Thibaut,11/05/1992,26,COURTOIS,Chelsea FC (ENG),199,91
Belgium,DF,ALDERWEIRELD Toby,02/03/1989,29,ALDERWEIRELD,Tottenham Hotspur FC (ENG),186,81
Belgium,DF,VERMAELEN Thomas,14/11/1985,32,VERMAELEN,FC Barcelona (ESP),183,80
Belgium,DF,KOMPANY Vincent,10/04/1986,32,KOMPANY,Manchester City FC (ENG),190,85
Belgium,DF,VERTONGHEN Jan,24/04/1987,31,VERTONGHEN,Tottenham Hotspur FC (ENG),189,86
Belgium,MF,WITSEL Axel,12/01/1989,29,WITSEL,Tianjin Quanjian FC (CHN),186,73
Belgium,MF,DE BRUYNE Kevin,28/06/1991,26,DE BRUYNE,Manchester City FC (ENG),181,70
Belgium,MF,FELLAINI Marouane,22/11/1987,30,FELLAINI,Manchester United FC (ENG),194,85
Belgium,FW,LUKAKU Romelu,13/05/1993,25,R. LUKAKU,Manchester United FC (ENG),190,94
Belgium,FW,HAZARD Eden,07/01/1991,27,E. HAZARD,Chelsea FC (ENG),173,74
Belgium,MF,CARRASCO Yannick,04/09/1993,24,CARRASCO,Dalian Yifang FC (CHN),180,67
Belgium,GK,MIGNOLET Simon,06/03/1988,30,MIGNOLET,Liverpool FC (ENG),193,87
Belgium,GK,CASTEELS Koen,25/06/1992,25,CASTEELS,VfL Wolfsburg (GER),197,86
Belgium,FW,MERTENS Dries,06/05/1987,31,MERTENS,SSC Napoli (ITA),169,61
Belgium,DF,MEUNIER Thomas,12/09/1991,26,MEUNIER,Paris Saint-Germain FC (FRA),190,88
Belgium,MF,HAZARD Thorgan,29/03/1993,25,T. HAZARD,VfL Borussia Mönchengladbach (GER),174,70
Belgium,MF,TIELEMANS Youri,07/05/1997,21,TIELEMANS,AS Monaco (FRA),176,72
Belgium,FW,JANUZAJ Adnan,05/02/1995,23,JANUZAJ,Real Sociedad (ESP),180,75
Belgium,MF,DEMBELE Moussa,16/07/1987,30,DEMBELE,Tottenham Hotspur FC (ENG),185,82
Belgium,DF,BOYATA Dedryck,28/11/1990,27,BOYATA,Celtic FC (SCO),188,84
Belgium,FW,BATSHUAYI Michy,02/10/1993,24,BATSHUAYI,Borussia Dortmund (GER),185,78
Belgium,MF,CHADLI Nacer,02/08/1989,28,CHADLI,West Bromwich Albion FC (ENG),187,85
Belgium,DF,DENDONCKER Leander,15/04/1995,23,DENDONCKER,RSC Anderlecht (BEL),188,76
Brazil,GK,ALISSON,02/10/1992,25,A. BECKER,AS Roma (ITA),193,91
Brazil,DF,THIAGO SILVA,22/09/1984,33,T. SILVA,Paris Saint-Germain FC (FRA),183,79
Brazil,DF,MIRANDA,07/09/1984,33,MIRANDA,FC Internazionale (ITA),186,78
Brazil,DF,PEDRO GEROMEL,21/09/1985,32,GEROMEL,Grêmio FBPA (BRA),190,84
Brazil,MF,CASEMIRO,23/02/1992,26,CASEMIRO,Real Madrid CF (ESP),185,84
Brazil,DF,FILIPE LUIS,09/08/1985,32,FILIPE LUIS,Atletico Madrid (ESP),182,73
Brazil,FW,DOUGLAS COSTA,14/09/1990,27,D. COSTA,Juventus FC (ITA),182,70
Brazil,MF,RENATO AUGUSTO,08/02/1988,30,R. AUGUSTO,Beijing Guoan (CHN),186,86
Brazil,FW,GABRIEL JESUS,03/04/1997,21,G. JESUS,Manchester City FC (ENG),175,73
Brazil,FW,NEYMAR,05/02/1992,26,NEYMAR JR,Paris Saint-Germain FC (FRA),175,68
Brazil,MF,PHILIPPE COUTINHO,12/06/1992,26,P. COUTINHO,FC Barcelona (ESP),172,68
Brazil,DF,MARCELO,12/05/1988,30,MARCELO,Real Madrid CF (ESP),174,80
Brazil,DF,MARQUINHOS,14/05/1994,24,MARQUINHOS,Paris Saint-Germain FC (FRA),183,75
Brazil,DF,DANILO,15/07/1991,26,DANILO,Manchester City FC (ENG),184,78
Brazil,MF,PAULINHO,25/07/1988,29,PAULINHO,FC Barcelona (ESP),181,81
Brazil,GK,CASSIO,06/06/1987,31,CASSIO,SC Corinthians (BRA),195,92
Brazil,MF,FERNANDINHO,04/05/1985,33,FERNANDINHO,Manchester City FC (ENG),179,67
Brazil,MF,FRED,05/03/1993,25,FRED,FC Shakhtar Donetsk (UKR),169,64
Brazil,MF,WILLIAN,09/08/1988,29,WILLIAN,Chelsea FC (ENG),175,77
Brazil,FW,ROBERTO FIRMINO,02/10/1991,26,FIRMINO,Liverpool FC (ENG),181,76
Brazil,FW,TAISON,13/01/1988,30,TAISON,FC Shakhtar Donetsk (UKR),172,64
Brazil,DF,FAGNER,11/06/1989,29,FAGNER,SC Corinthians (BRA),168,67
Brazil,GK,EDERSON,17/08/1993,24,EDERSON,Manchester City FC (ENG),188,86
Colombia,GK,OSPINA David,31/08/1988,29,OSPINA,Arsenal FC (ENG),183,80
Colombia,DF,ZAPATA Cristian,30/09/1986,31,C. ZAPATA,AC Milan (ITA),187,82
Colombia,DF,MURILLO Oscar,18/04/1988,30,O. MURILLO,CF Pachuca (MEX),184,80
Colombia,DF,ARIAS Santiago,13/01/1992,26,ARIAS,PSV Eindhoven (NED),177,71
Colombia,MF,BARRIOS  Wilmar,16/10/1993,24,BARRIOS,CA Boca Juniors (ARG),178,74
Colombia,MF,SANCHEZ Carlos,06/02/1986,32,C. SANCHEZ,RCD Espanyol (ESP),182,82
Colombia,FW,BACCA Carlos,08/09/1986,31,BACCA,Villarreal CF (ESP),181,77
Colombia,MF,AGUILAR Abel,06/01/1985,33,AGUILAR T.,AC Deportivo Cali (COL),185,82
Colombia,FW,FALCAO Radamel,10/02/1986,32,FALCAO,AS Monaco (FRA),177,72
Colombia,MF,RODRIGUEZ James,12/07/1991,26,JAMES,FC Bayern München (GER),180,75
Colombia,MF,CUADRADO Juan,26/05/1988,30,CUADRADO,Juventus FC (ITA),179,72
Colombia,GK,VARGAS Camilo,09/03/1989,29,C. VARGAS,AC Deportivo Cali (COL),185,80
Colombia,DF,MINA Yerry,23/09/1994,23,Y. MINA,FC Barcelona (ESP),194,95
Colombia,FW,MURIEL Luis,16/04/1991,27,L. MURIEL,Sevilla FC (ESP),178,79
Colombia,MF,URIBE Mateus,21/03/1991,27,M. URIBE,Club América (MEX),182,71
Colombia,MF,LERMA Jefferson,25/10/1994,23,J. LERMA,Levante UD (ESP),179,70
Colombia,DF,MOJICA Johan,21/08/1992,25,J. MOJICA,Girona FC (ESP),185,66
Colombia,DF,FABRA Frank,22/02/1991,27,FABRA,CA Boca Juniors (ARG),172,72
Colombia,FW,BORJA Miguel,26/01/1993,25,M. BORJA,SE Palmeiras (BRA),183,74
Colombia,MF,QUINTERO Juan,18/01/1993,25,J. QUINTERO,CA River Plate (ARG),169,64
Colombia,FW,IZQUIERDO Jose,07/07/1992,25,IZQUIERDO,Brighton & Hove Albion FC (ENG),171,73
Colombia,GK,CUADRADO Jose,01/06/1985,33,J.F. CUADRADO,CD Once Caldas (COL),180,80
Colombia,DF,SANCHEZ Davinson,12/06/1996,22,D. SANCHEZ,Tottenham Hotspur FC (ENG),187,81
Costa Rica,GK,NAVAS Keylor,15/12/1986,31,K. NAVAS,Real Madrid CF (ESP),185,80
Costa Rica,DF,ACOSTA Johnny,21/07/1983,34,J. ACOSTA,Rionegro Águilas (COL),176,75
Costa Rica,DF,GONZALEZ Giancarlo,08/02/1988,30,G. GONZALEZ,Bologna FC (ITA),186,78
Costa Rica,DF,SMITH Ian,06/03/1998,20,I. SMITH,IFK Norrkoping FK (SWE),177,68
Costa Rica,MF,BORGES Celso,27/05/1988,30,C. BORGES,Deportivo La Coruña (ESP),187,79
Costa Rica,DF,DUARTE Oscar,03/06/1989,29,O. DUARTE,RCD Espanyol (ESP),186,81
Costa Rica,MF,BOLANOS Christian,17/05/1984,34,C. BOLAÑOS,Deportivo Saprissa (CRC),178,67
Costa Rica,DF,OVIEDO Bryan,18/02/1990,28,B. OVIEDO,Sunderland AFC (ENG),172,70
Costa Rica,MF,COLINDRES Daniel,10/01/1985,33,D. COLINDRES,Deportivo Saprissa (CRC),180,75
Costa Rica,MF,RUIZ Bryan,18/08/1985,32,BRYAN,Sporting CP (POR),187,73
Costa Rica,FW,VENEGAS Johan,27/11/1988,29,J. VENEGAS,Deportivo Saprissa (CRC),183,76
Costa Rica,FW,CAMPBELL Joel,26/06/1992,25,J. CAMPBELL,Real Betis (ESP),178,71
Costa Rica,MF,WALLACE Rodney,17/06/1988,30,R. WALLACE,New York City FC (USA),180,70
Costa Rica,MF,AZOFEIFA Randall,30/12/1984,33,R. AZOFEIFA,CS Herediano (CRC),182,83
Costa Rica,DF,CALVO Francisco,08/07/1992,25,F. CALVO,Minnesota United FC (USA),180,78
Costa Rica,DF,GAMBOA Cristian,24/10/1989,28,C. GAMBOA,Celtic FC (SCO),175,67
Costa Rica,MF,TEJEDA Yeltsin,17/03/1992,26,Y. TEJEDA,FC Lausanne-Sport (SUI),179,67
Costa Rica,GK,PEMBERTON Patrick,24/04/1982,36,P. PEMBERTON,LD Alajuelense (CRC),178,72
Costa Rica,DF,WASTON Kendall,01/01/1988,30,K. WASTON,Vancouver Whitecaps FC (CAN),196,87
Costa Rica,MF,GUZMAN David,18/02/1990,28,D. GUZMAN,Portland Timbers (USA),176,78
Costa Rica,FW,URENA Marcos,05/03/1990,28,M. UREÑA,Los Angeles FC (USA),181,70
Costa Rica,DF,MATARRITA Ronald,09/07/1994,23,R. MATARRITA,New York City FC (USA),175,70
Costa Rica,GK,MOREIRA Leonel,02/04/1990,28,L. MOREIRA,CS Herediano (CRC),179,70
Croatia,GK,LIVAKOVIC Dominik,09/01/1995,23,LIVAKOVIĆ,GNK Dinamo Zagreb (CRO),188,82
Croatia,DF,VRSALJKO Sime,10/01/1992,26,VRSALJKO,Atletico Madrid (ESP),181,76
Croatia,DF,STRINIC Ivan,17/07/1987,30,STRINIĆ,UC Sampdoria (ITA),186,78
Croatia,FW,PERISIC Ivan,02/02/1989,29,PERIŠIĆ,FC Internazionale (ITA),186,81
Croatia,DF,CORLUKA Vedran,05/02/1986,32,ĆORLUKA,FC Lokomotiv Moscow (RUS),192,84
Croatia,DF,LOVREN Dejan,05/07/1989,28,LOVREN,Liverpool FC (ENG),188,84
Croatia,MF,RAKITIC Ivan,10/03/1988,30,RAKITIĆ,FC Barcelona (ESP),184,78
Croatia,MF,KOVACIC Mateo,06/05/1994,24,KOVAČIĆ,Real Madrid CF (ESP),178,78
Croatia,FW,KRAMARIC Andrej,19/06/1991,27,KRAMARIĆ,TSG 1899 Hoffenheim (GER),177,73
Croatia,MF,MODRIC Luka,09/09/1985,32,MODRIĆ,Real Madrid CF (ESP),172,66
Croatia,MF,BROZOVIC Marcelo,16/11/1992,25,BROZOVIĆ,FC Internazionale (ITA),181,68
Croatia,GK,KALINIC Lovre,03/04/1990,28,L. KALINIĆ,KAA Gent (BEL),201,96
Croatia,DF,JEDVAJ Tin,28/11/1995,22,JEDVAJ,Bayer 04 Leverkusen (GER),184,81
Croatia,MF,BRADARIC Filip,11/01/1992,26,BRADARIĆ,HNK Rijeka (CRO),186,78
Croatia,DF,CALETA-CAR Duje,17/09/1996,21,ĆALETA-CAR,FC Red Bull Salzburg (AUT),192,89
Croatia,FW,KALINIC Nikola,05/01/1988,30,N. KALINIĆ,AC Milan (ITA),187,81
Croatia,FW,MANDZUKIC Mario,21/05/1986,32,MANDŽUKIĆ,Juventus FC (ITA),190,85
Croatia,FW,REBIC Ante,21/09/1993,24,REBIĆ,Eintracht Frankfurt (GER),185,78
Croatia,MF,BADELJ Milan,25/02/1989,29,BADELJ,ACF Fiorentina (ITA),186,76
Croatia,FW,PJACA Marko,06/05/1995,23,PJACA,FC Schalke 04 (GER),186,83
Croatia,DF,VIDA Domagoj,29/04/1989,29,VIDA,Besiktas JK (TUR),184,76
Croatia,DF,PIVARIC Josip,30/01/1989,29,PIVARIĆ,FC Dynamo Kyiv (UKR),176,69
Croatia,GK,SUBASIC Danijel,27/10/1984,33,SUBAŠIĆ,AS Monaco (FRA),191,84
Denmark,GK,SCHMEICHEL Kasper,05/11/1986,31,SCHMEICHEL,Leicester City FC (ENG),190,92
Denmark,MF,KROHN-DEHLI Michael,06/06/1983,35,KROHN-DEHLI,Deportivo La Coruña (ESP),171,69
Denmark,DF,VESTERGAARD Jannik,03/08/1992,25,VESTERGAARD,VfL Borussia Mönchengladbach (GER),200,98
Denmark,DF,KJAER Simon,26/03/1989,29,KJÆR,Sevilla FC (ESP),191,84
Denmark,DF,KNUDSEN Jonas,16/09/1992,25,KNUDSEN,Ipswich Town FC (ENG),187,82
Denmark,DF,CHRISTENSEN Andreas,10/04/1996,22,CHRISTENSEN,Chelsea FC (ENG),192,85
Denmark,MF,KVIST William,24/02/1985,33,KVIST,FC Kobenhavn (DEN),185,80
Denmark,MF,DELANEY Thomas,03/09/1991,26,DELANEY,SV Werder Bremen (GER),180,78
Denmark,FW,JORGENSEN Nicolai,15/01/1991,27,N. JØRGENSEN,Feyenoord Rotterdam (NED),194,86
Denmark,MF,ERIKSEN Christian,14/02/1992,26,ERIKSEN,Tottenham Hotspur FC (ENG),181,76
Denmark,FW,BRAITHWAITE Martin,05/06/1991,27,BRAITHWAITE,FC Girondins Bordeaux (FRA),180,73
Denmark,FW,DOLBERG Kasper,06/10/1997,20,DOLBERG,AFC Ajax (NED),187,85
Denmark,DF,JORGENSEN Mathias,23/04/1990,28,M. JØRGENSEN,Huddersfield Town FC (ENG),191,85
Denmark,DF,DALSGAARD Henrik,27/07/1989,28,DALSGAARD,Brentford FC (ENG),190,81
Denmark,FW,FISCHER Viktor,09/06/1994,24,FISCHER,FC Kobenhavn (DEN),181,80
Denmark,GK,LOSSL Jonas,01/02/1989,29,LÖSSL,Huddersfield Town FC (ENG),195,90
Denmark,DF,STRYGER LARSEN Jens,21/02/1991,27,STRYGER,Udinese Calcio (ITA),182,82
Denmark,MF,LERAGER Lukas,12/07/1993,24,LERAGER,FC Girondins Bordeaux (FRA),186,85
Denmark,MF,SCHONE Lasse,27/05/1986,32,SCHÖNE,AFC Ajax (NED),178,80
Denmark,FW,POULSEN Yussuf Yurary,15/06/1994,24,YURARY,RB Leipzig (GER),193,84
Denmark,FW,CORNELIUS Andreas,16/03/1993,25,CORNELIUS,Atalanta Bergamo (ITA),195,91
Denmark,GK,RONNOW Frederik,04/08/1992,25,RØNNOW,Brondby IF (DEN),190,85
Denmark,FW,SISTO Pione,04/02/1995,23,SISTO,Celta Vigo (ESP),173,69
Egypt,GK,ESSAM EL HADARY,15/01/1973,45,ELHADARY,Al Taawoun FC (KSA),190,90
Egypt,DF,ALI GABR,01/01/1989,29,ALI GABR,West Bromwich Albion FC (ENG),191,88
Egypt,DF,AHMED ELMOHAMADY,09/09/1987,30,ELMOHAMADY,Aston Villa FC (ENG),183,76
Egypt,MF,OMAR GABER,30/01/1992,26,O. GABER,Los Angeles FC (USA),175,71
Egypt,MF,SAM MORSY,10/09/1991,26,MORSY,Wigan Athletic FC (ENG),173,75
Egypt,DF,AHMED HEGAZY,25/01/1991,27,A. HEGAZY,West Bromwich Albion FC (ENG),194,95
Egypt,DF,AHMED FATHI,10/11/1984,33,A. FATHI,Al Ahly SC (EGY),176,76
Egypt,MF,TAREK HAMED,24/10/1988,29,TAREK HAMED,Zamalek (EGY),169,67
Egypt,FW,MARWAN MOHSEN,26/02/1989,29,MARWAN,Al Ahly SC (EGY),185,81
Egypt,FW,MOHAMED SALAH,15/06/1992,26,M SALAH,Liverpool FC (ENG),175,71
Egypt,FW,KAHRABA,13/04/1994,24,M. KAHRABA,Al-Ittihad FC (KSA),182,76
Egypt,DF,AYMAN ASHRAF,09/04/1991,27,A. ASHRAF,Al Ahly SC (EGY),176,73
Egypt,DF,MOHAMED ABDELSHAFY,01/07/1985,32,ABDELSHAFY,Al Fateh FC (KSA),171,72
Egypt,FW,RAMADAN SOBHY,23/01/1997,21,RAMADAN,Stoke City FC (ENG),183,77
Egypt,DF,MAHMOUD HAMDY,01/06/1995,23,M. HAMDY,Zamalek (EGY),173,72
Egypt,GK,SHERIF EKRAMY,10/07/1983,34,EKRAMY,Al Ahly SC (EGY),193,93
Egypt,MF,MOHAMED ELNENY,11/07/1992,25,M. ELNENY,Arsenal FC (ENG),181,74
Egypt,FW,SHIKABALA,05/03/1986,32,SHIKABALA,Al Raed SC (KSA),183,80
Egypt,MF,ABDALLA SAID,13/07/1985,32,ABDALLA,Kuopion PS (FIN),176,75
Egypt,DF,SAMIR SAAD,01/04/1989,29,S. SAMIR,Al Ahly SC (EGY),183,82
Egypt,MF,TREZEGUET,01/10/1994,23,M. TREZEGUET,Kasimpasa SK (TUR),181,77
Egypt,FW,AMR WARDA,17/09/1993,24,WARDA,Atromitos FC (GRE),179,77
Egypt,GK,MOHAMED ELSHENAWY,18/12/1988,29,M. ELSHENAWY,Al Ahly SC (EGY),191,86
England,GK,PICKFORD Jordan,07/03/1994,24,PICKFORD,Everton FC (ENG),185,72
England,DF,WALKER Kyle,28/05/1990,28,WALKER,Manchester City FC (ENG),178,83
England,DF,ROSE Danny,02/07/1990,27,ROSE,Tottenham Hotspur FC (ENG),173,76
England,MF,DIER Eric,15/01/1994,24,DIER,Tottenham Hotspur FC (ENG),188,90
England,DF,STONES John,28/05/1994,24,STONES,Manchester City FC (ENG),188,72
England,DF,MAGUIRE Harry,05/03/1993,25,MAGUIRE,Leicester City FC (ENG),193,98
England,MF,LINGARD Jesse,15/12/1992,25,LINGARD,Manchester United FC (ENG),175,60
England,MF,HENDERSON Jordan,17/06/1990,28,HENDERSON,Liverpool FC (ENG),183,82
England,FW,KANE Harry,28/07/1993,24,KANE,Tottenham Hotspur FC (ENG),188,98
England,FW,STERLING Raheem,08/12/1994,23,STERLING,Manchester City FC (ENG),170,70
England,FW,VARDY Jamie,11/01/1987,31,VARDY,Leicester City FC (ENG),178,80
England,DF,TRIPPIER Kieran,19/09/1990,27,TRIPPIER,Tottenham Hotspur FC (ENG),178,72
England,GK,BUTLAND Jack,10/03/1993,25,BUTLAND,Stoke City FC (ENG),196,96
England,FW,WELBECK Danny,26/11/1990,27,WELBECK,Arsenal FC (ENG),184,78
England,DF,CAHILL Gary,19/12/1985,32,CAHILL,Chelsea FC (ENG),191,85
England,DF,JONES Phil,21/02/1992,26,JONES,Manchester United FC (ENG),182,72
England,DF,DELPH Fabian,21/11/1989,28,DELPH,Manchester City FC (ENG),174,78
England,DF,YOUNG Ashley,09/07/1985,32,YOUNG,Manchester United FC (ENG),175,78
England,FW,RASHFORD Marcus,31/10/1997,20,RASHFORD,Manchester United FC (ENG),180,78
England,MF,ALLI Dele,11/04/1996,22,DELE,Tottenham Hotspur FC (ENG),188,76
England,MF,LOFTUS-CHEEK Ruben,23/01/1996,22,LOFTUS-CHEEK,Chelsea FC (ENG),190,73
England,DF,ALEXANDER-ARNOLD Trent,07/10/1998,19,ALEXANDER-ARNOLD,Liverpool FC (ENG),175,70
England,GK,POPE Nick,19/04/1992,26,POPE,Burnley FC (ENG),191,76
France,GK,LLORIS Hugo,26/12/1986,31,LLORIS,Tottenham Hotspur FC (ENG),188,82
France,DF,PAVARD Benjamin,28/03/1996,22,PAVARD,VfB Stuttgart (GER),186,76
France,DF,KIMPEMBE Presnel,13/08/1995,22,KIMPEMBE,Paris Saint-Germain FC (FRA),182,78
France,DF,VARANE Raphael,25/04/1993,25,VARANE,Real Madrid CF (ESP),191,79
France,DF,UMTITI Samuel,14/11/1993,24,UMTITI,FC Barcelona (ESP),183,84
France,MF,POGBA Paul,15/03/1993,25,POGBA,Manchester United FC (ENG),191,86
France,FW,GRIEZMANN Antoine,21/03/1991,27,GRIEZMANN,Atletico Madrid (ESP),174,72
France,FW,LEMAR Thomas,12/11/1995,22,LEMAR,AS Monaco (FRA),172,65
France,FW,GIROUD Olivier,30/09/1986,31,GIROUD,Chelsea FC (ENG),193,91
France,FW,MBAPPE Kylian,20/12/1998,19,MBAPPE,Paris Saint-Germain FC (FRA),178,78
France,FW,DEMBELE Ousmane,15/05/1997,21,DEMBELE,FC Barcelona (ESP),178,70
France,MF,TOLISSO Corentin,03/08/1994,23,TOLISSO,FC Bayern München (GER),180,82
France,MF,KANTE Ngolo,29/03/1991,27,KANTE,Chelsea FC (ENG),168,70
